20180924,THAI NJR,D1800379,62626,NJU7084R-TE1-#ZMZB,1809-ME63,8000,PCS,64
20180924,THAI NJR,D1800379,68269,NJW4184DL1-05B-TE2-#UZZH,1809-AM68,6000,PCS,39
20180924,THAI NJR,D1800379,68243,NJW4184DL1-33B-TE2-#UZZH,1809-AN47,12000,PCS,36
20180924,THAI NJR,D1800379,71678,NJU7047RB1T1-TE2-#ZMZH,1809-MD45,12000,PCS,59
20180924,THAI NJR,D1800379,33801,NJU4051BD-#ZZZB,1809-L632,2000,PCS,92
20180924,THAI NJR,D1800379,68234,NJW4184DL3-33A-TE2-#UZZH,1809-MC21,6000,PCS,47
20180924,THAI NJR,D1800379,68271,NJW4188DL3T1-TE2-G3-#UZZH,1809-MF88,9000,PCS,48
20180924,THAI NJR,D1800379,59766,NJU7029RB1-TE2-#ZMZH,1809-AJ73,12000,PCS,58
20180924,THAI NJR,D1800379,59766,NJU7029RB1-TE2-#ZMZH,1809-AM40,14000,PCS,58
20180924,THAI NJR,D1800379,68591,NJU7044V-TE2-#ZMZB,1809-AH12,4000,PCS,25
20180924,THAI NJR,D1800379,74546,NJW1124V-TE1-#ZMZH,1808-KB06,2000,PCS,34
20180924,THAI NJR,D1800379,74546,NJW1124V-TE1-#ZMZH,1809-ME44,10000,PCS,34
20180924,THAI NJR,D1800379,74546,NJW1124V-TE1-#ZMZH,1809-MF48,8000,PCS,34
20180924,THAI NJR,D1800379,74577,NJW1240V-TE1-#UMZH,1809-MF87,8000,PCS,35
20180924,THAI NJR,D1800379,75360,NJU211M-TE1-#ZMZH,1809-AL50,2000,PCS,95
20180924,THAI NJR,D1800379,75361,NJU211M-TE2-#ZMZH,1809-MD79,2000,PCS,96
20180924,THAI NJR,D1800379,75076,NJW4186DL3-TE1-G3S-#UZZH,1809-AL23,6000,PCS,45
20180924,THAI NJR,D1800379,75076,NJW4186DL3-TE1-G3S-#UZZH,1809-MB37,3000,PCS,45
20180924,THAI NJR,D1800379,75076,NJW4186DL3-TE1-G3S-#UZZH,1809-MF10,9000,PCS,45
20180924,THAI NJR,D1800379,70247,NJU7047RB1-TE1-#ZMZH,1809-MD81,8000,PCS,56
20180924,THAI NJR,D1800379,33867,NJM084D-#ZZZB,1809-AK60,2000,PCS,91
20180924,THAI NJR,D1800379,32500,NJM79M15FA-#ZZZB,1809-AE15,2000,PCS,71
20180924,THAI NJR,D1800379,32500,NJM79M15FA-#ZZZB,1809-AF17,2000,PCS,71
20180924,THAI NJR,D1800379,32500,NJM79M15FA-#ZZZB,1809-AF87,8000,PCS,71
20180924,THAI NJR,D1800379,32500,NJM79M15FA-#ZZZB,1809-AL37,11000,PCS,71
20180924,THAI NJR,D1800379,34675,NJM2103M-TE1-#ZMZB,1809-MD92,14000,PCS,113
20180924,THAI NJR,D1800379,34689,NJM318M-TE1-#ZMZB,1809-MB73,2000,PCS,125
20180924,THAI NJR,D1800379,36860,NJM2903V-TE1-#FMZB,1809-AN95,14000,PCS,1
20180924,THAI NJR,D1800379,36860,NJM2903V-TE1-#FMZB,1809-AR30,14000,PCS,1
20180924,THAI NJR,D1800379,36860,NJM2903V-TE1-#FMZB,1809-AS73,14000,PCS,1
20180924,THAI NJR,D1800379,36869,NJM4558D-#FMZB,1809-AR56,10000,PCS,87
20180924,THAI NJR,D1800379,36869,NJM4558D-#FMZB,1809-AR57,8000,PCS,87
20180924,THAI NJR,D1800379,36869,NJM4558D-#FMZB,1809-AR58,12000,PCS,87
20180924,THAI NJR,D1800379,36869,NJM4558D-#FMZB,1809-L641,2000,PCS,87
20180924,THAI NJR,D1800379,36869,NJM4558D-#FMZB,1809-L645,2000,PCS,87
20180924,THAI NJR,D1800379,36869,NJM4558D-#FMZB,1809-L646,2000,PCS,87
20180924,THAI NJR,D1800379,36894,NJM4558L-#FZZB,1809-AL57,6000,PCS,94
20180924,THAI NJR,D1800379,36894,NJM4558L-#FZZB,1809-AM06,8000,PCS,94
20180924,THAI NJR,D1800379,36894,NJM4558L-#FZZB,1809-AM96,6000,PCS,94
20180924,THAI NJR,D1800379,36894,NJM4558L-#FZZB,1809-AP78,6000,PCS,94
20180924,THAI NJR,D1800379,36894,NJM4558L-#FZZB,1809-AP81,8000,PCS,94
20180924,THAI NJR,D1800379,36894,NJM4558L-#FZZB,1809-L658,4000,PCS,94
20180924,THAI NJR,D1800379,37043,NJM4565M-TE1-#FMZB,1809-ME40,8000,PCS,118
20180924,THAI NJR,D1800379,39530,NJM3414AV-TE1-#FMZB,1809-MA96,2000,PCS,20
20180924,THAI NJR,D1800379,39545,NJM2904D-#FMZB,1809-AF57,4000,PCS,85
20180924,THAI NJR,D1800379,39564,NJM2904M-TE1-#FMZB,1809-AN18,14000,PCS,114
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-AM99,14000,PCS,5
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-KE21,2000,PCS,5
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-KK30,2000,PCS,5
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-KP34,2000,PCS,5
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-KR08,2000,PCS,5
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-MA34,14000,PCS,5
20180924,THAI NJR,D1800379,39585,NJM2904V-TE1-#FMZB,1809-MA88,14000,PCS,5
